,Open,High,Low,Close,return,rv_gkyz,GPR_AI,EPU,GPR_AI_sc,EPU_sc
2024-05-06,5142.419921875,5181.0,5142.419921875,5180.740234375,1.027317369124784,0.14757552741000443,162.0,55.72,1.5994821225775755,-0.4547681151094766
2024-05-07,5187.2001953125,5200.22998046875,5178.9599609375,5187.7001953125,0.13425282288256132,0.09948521998451913,216.66,76.56,2.411647362175748,0.014089433891307672
2024-05-08,5168.97998046875,5191.9501953125,5165.85986328125,5187.669921875,-0.0005835635193424913,0.20726599364789655,225.93,38.92,2.5286839807116883,-0.9842667714577412
2024-05-09,5189.02978515625,5215.2998046875,5180.41015625,5214.080078125,0.5078032639106711,0.13637055085610542,184.93,35.93,1.9692897822459141,-1.1022215616938444
2024-05-10,5225.490234375,5239.66015625,5209.68017578125,5222.68017578125,0.1648040080166728,0.21129898884033518,184.73,51.54,1.966266994251858,-0.569838489122821
2024-05-13,5233.080078125,5237.259765625,5211.16015625,5221.419921875,-0.024133317386520824,0.14514796469014157,173.35,103.08,1.78864833622458,0.45298454355394535
2024-05-14,5221.10009765625,5250.3701171875,5217.97998046875,5246.68017578125,0.4826148527454041,0.09923501567761592,214.14,36.94,2.378965265563461,-1.0613138250969023
2024-05-15,5263.259765625,5311.759765625,5263.259765625,5308.14990234375,1.164782778729962,0.24160279455212771,192.9,135.19,2.0871606335759196,0.8531374587751829
2024-05-16,5310.06982421875,5325.490234375,5296.18994140625,5297.10009765625,-0.20838374740880464,0.1303974328513531,225.62,96.41,2.5248483567311197,0.35427215723152633
2024-05-17,5303.10009765625,5305.4501953125,5283.58984375,5303.27001953125,0.11640956878937513,0.09804932127790765,183.71,55.17,1.9507996903944358,-0.46940601933093684
2024-05-20,5305.35009765625,5325.31982421875,5302.39990234375,5308.1298828125,0.09159703084911665,0.09349808912489697,202.19,54.29,2.2185559377261814,-0.4931329531577553
2024-05-21,5298.68994140625,5324.31982421875,5297.8701171875,5321.41015625,0.24987497668926087,0.08496909895366858,255.47,92.53,2.8719497527008824,0.29365802269277624
2024-05-22,5319.27978515625,5323.18017578125,5286.009765625,5307.009765625,-0.27097912093521476,0.22650848075634958,199.33,62.26,2.178759307007784,-0.2910035932021396
2024-05-23,5340.259765625,5341.8798828125,5256.93017578125,5267.83984375,-0.7408162283471933,0.9547949573716211,143.85,55.15,1.2675427006269842,-0.4699410525916755
2024-05-24,5281.4501953125,5311.64990234375,5278.39013671875,5304.72021484375,0.6976649076673259,0.18919687510647965,135.9,77.2,1.1087267583709728,0.02637355658644264
2024-05-28,5315.91015625,5315.91015625,5280.89013671875,5306.0400390625,0.024877090688591535,0.24949358423527662,151.22,153.24,1.40711938511686,1.03806845700475
2024-05-29,5278.72998046875,5282.27001953125,5262.7001953125,5266.9501953125,-0.7394317215742535,0.3158869965161732,189.02,56.95,2.0303990667028473,-0.42254859225741714
2024-05-30,5259.77001953125,5260.2099609375,5222.10009765625,5235.47998046875,-0.5992957535754186,0.2002034377846644,179.97,123.02,1.8933420741989286,0.7139357869921626
2024-05-31,5243.2099609375,5280.330078125,5191.68017578125,5277.509765625,0.7995824231928896,1.2908623179054226,139.67,92.78,1.1851660441433327,0.29763952021634177
2024-06-03,5297.14990234375,5302.10986328125,5234.31982421875,5283.39990234375,0.11154602235352391,0.9398017133511183,138.65,72.4,1.1646903888253943,-0.06835126090533437
2024-06-04,5278.240234375,5298.7998046875,5257.6298828125,5291.33984375,0.15016810037827533,0.29001274002847693,142.94,191.95,1.2498147327690623,1.3704221484468444
2024-06-05,5314.47998046875,5354.16015625,5297.64013671875,5354.02978515625,1.1778015849957282,0.5411755824426171,166.85,67.8,1.681887488752301,-0.16521712701457056
2024-06-06,5357.7998046875,5362.35009765625,5335.35986328125,5352.9599609375,-0.019983660163685184,0.1291100120010305,104.23,35.32,0.36755476807970294,-1.1274889649430644
2024-06-07,5343.81005859375,5375.080078125,5331.330078125,5346.990234375,-0.11158420502790661,0.36186707800201107,138.19,80.15,1.1554069367331958,0.08170999372106608
2024-06-10,5341.22021484375,5365.7900390625,5331.52001953125,5360.7900390625,0.2577529978240972,0.16525324940830563,128.06,55.59,0.9427352735301997,-0.45821490174901347
2024-06-11,5353.0,5375.9501953125,5327.25,5375.31982421875,0.2706714855209522,0.3683334910084315,93.09,92.67,0.05179539812323115,0.2958889846768367
2024-06-12,5409.1298828125,5447.25,5409.1298828125,5421.02978515625,0.8467720241887338,0.6210833720908577,110.02,59.32,0.5185779449031689,-0.36238332271914986
2024-06-13,5441.93017578125,5441.93017578125,5402.509765625,5433.740234375,0.234191143711672,0.40358819993333706,118.65,100.25,0.729532074001786,0.4119057145925072
2024-06-14,5424.080078125,5432.39013671875,5403.75,5431.60009765625,-0.039393828099749416,0.16395926664233615,140.72,94.21,1.2060883197304624,0.32020949928444986
2024-06-17,5431.10986328125,5488.5,5420.39990234375,5473.22998046875,0.7635164372320518,0.5489584660174607,128.48,88.92,0.9518821896770145,0.2349344358842056
2024-06-18,5476.14990234375,5490.3798828125,5471.31982421875,5487.02978515625,0.25181541815171166,0.048094451007289256,130.51,64.98,0.9956749223529202,-0.22790546964774785
2024-06-20,5499.990234375,5505.52978515625,5455.56005859375,5473.169921875,-0.252912739541154,0.3790146855298476,179.08,72.11,1.8794931488324038,-0.07427376969180562
2024-06-21,5466.77001953125,5478.31005859375,5452.02978515625,5464.6201171875,-0.15633517188252496,0.12870912798603476,156.97,89.94,1.5113702847045691,0.25176492306008375
2024-06-24,5459.580078125,5490.66015625,5447.58984375,5447.8701171875,-0.30698791558664423,0.3008002002019056,202.44,76.15,2.222007868635402,0.0061658354676157375
2024-06-25,5460.72998046875,5472.8798828125,5446.56005859375,5469.2998046875,0.39258736791813437,0.16228828958285374,115.44,99.49,0.652914304622335,0.4006763372318176
2024-06-26,5460.7099609375,5483.14013671875,5451.8701171875,5477.89990234375,0.15711962247204525,0.15009558682206758,123.49,49.78,0.8412227147281162,-0.6211088303412605
2024-06-27,5473.58984375,5490.81005859375,5467.5400390625,5482.8701171875,0.09069098567990731,0.08529497161691568,147.79,66.89,1.3430268327002786,-0.1851567839276791
